date,temp_high,temp_low,weather,wind,aqi,aqiInfo,aqiLevel
2016-06-27,23℃,20℃,小雨~阴,东风,1-2级,37,优,1
2016-06-28,25℃,22℃,中雨~小雨,东南风,1-2级,37,优,1
2016-06-29,29℃,23℃,阴,东南风,1-2级,40,优,1
2016-06-30,33℃,26℃,多云~雷阵雨,南风,1-2级,48,优,1
2016-07-01,30℃,25℃,雷阵雨,南风,1-2级,30,优,1
2016-07-02,27℃,25℃,中雨~小雨,东风,1-2级,31,优,1
2016-07-03,26℃,25℃,中雨~小雨,西南风,1-2级,35,优,1
2016-07-04,29℃,25℃,小雨,西南风,1-2级,54,良,2
2016-07-05,30℃,25℃,小雨,南风,1-2级,37,优,1
2016-07-06,30℃,25℃,小雨,东南风,1-2级,78,良,2
2016-07-07,30℃,24℃,小雨~多云,东风,1-2级,44,优,1
2016-07-08,31℃,24℃,小雨~阴,东风,1-2级,38,优,1
2016-07-09,30℃,25℃,小雨,东风,1-2级,34,优,1
2016-07-10,27℃,24℃,小雨,东北风,1-2级,43,优,1
2016-07-11,30℃,25℃,小雨~多云,东风,1-2级,47,优,1
2016-07-12,33℃,26℃,小雨,西北风,1-2级,80,良,2
2016-07-13,33℃,27℃,小雨,东南风,1-2级,93,良,2
2016-07-14,30℃,24℃,中雨~小雨,东北风,1-2级,67,良,2
2016-07-15,32℃,23℃,小雨,西南风,1-2级,59,良,2
2016-07-16,28℃,22℃,阴,西北风,1-2级,47,优,1
2016-07-17,32℃,25℃,多云~小雨,东风,1-2级,80,良,2
2016-07-18,32℃,26℃,小雨,东风,1-2级,66,良,2
2016-07-19,31℃,26℃,小雨~阴,南风,1-2级,52,良,2
2016-07-20,35℃,28℃,阴~多云,南风,1-2级,51,良,2
2016-07-21,36℃,27℃,多云,南风,1-2级,40,优,1
2016-07-22,36℃,28℃,小雨~晴,西南风,1-2级,52,良,2
2016-07-23,37℃,28℃,小雨~晴,南风,1-2级,59,良,2
2016-07-24,36℃,27℃,小雨~晴,南风,1-2级,69,良,2
2016-07-25,36℃,27℃,多云~晴,东南风,1-2级,73,良,2
2016-07-26,37℃,29℃,小雨~晴,南风,1-2级,73,良,2
2016-07-27,37℃,29℃,小雨~多云,西南风,1-2级,81,良,2
2016-07-28,37℃,29℃,小雨~晴,东南风,1-2级,81,良,2
2016-07-29,38℃,29℃,小雨~晴,东南风,1-2级,85,良,2
2016-07-30,36℃,28℃,多云,东南风,1-2级,80,良,2
2016-07-31,35℃,27℃,多云~晴,东南风,1-2级,39,优,1
2016-08-01,35℃,28℃,小雨~多云,东风,1-2级,45,优,1
2016-08-02,36℃,28℃,小雨,东南风,1-2级,35,优,1
2016-08-03,30℃,27℃,小雨~阴,西南风,1-2级,40,优,1
2016-08-04,32℃,27℃,小雨,西北风,1-2级,56,良,2
2016-08-05,34℃,27℃,小雨,北风,1-2级,58,良,2
2016-08-06,33℃,27℃,小雨~多云,东南风,1-2级,42,优,1
2016-08-07,34℃,27℃,小雨~多云,东南风,1-2级,38,优,1
2016-08-08,34℃,28℃,小雨~多云,东风,1-2级,35,优,1
2016-08-09,34℃,28℃,小雨,东风,1-2级,33,优,1
2016-08-10,35℃,28℃,小雨~多云,东南风,1-2级,31,优,1
2016-08-11,35℃,28℃,多云,东风,1-2级,42,优,1
2016-08-12,35℃,28℃,小雨~晴,东南风,1-2级,43,优,1
2016-08-13,36℃,28℃,多云~晴,东南风,1-2级,37,优,1
2016-08-14,35℃,27℃,多云,东南风,1-2级,57,良,2
2016-08-15,35℃,27℃,阴,东风,1-2级,59,良,2
2016-08-16,36℃,27℃,多云,东风,1-2级,46,优,1
2016-08-17,36℃,28℃,多云,东风,1-2级,55,良,2
2016-08-18,35℃,29℃,多云,东南风,1-2级,55,良,2
2016-08-19,37℃,28℃,多云,东南风,1-2级,61,良,2
2016-08-20,37℃,29℃,雷阵雨,西北风,3-4级,64,良,2
2016-08-21,35℃,28℃,雷阵雨~多云,北风,3-4级,86,良,2
2016-08-22,35℃,27℃,多云,东北风,1-2级,62,良,2
2016-08-23,35℃,26℃,多云,东北风,3-4级,61,良,2
2016-08-24,35℃,26℃,多云,东北风,3-4级,66,良,2
2016-08-25,35℃,25℃,多云,东北风,1-2级,65,良,2
2016-08-26,33℃,24℃,阵雨,东北风,3-4级,48,优,1
2016-08-27,30℃,23℃,多云,北风,4-5级,50,优,1
2016-08-28,30℃,22℃,晴,北风,3-4级,69,良,2
2016-08-29,31℃,21℃,多云,西北风,3-4级,59,良,2
2016-08-30,31℃,20℃,多云,西北风,1-2级,57,良,2
2016-08-31,33℃,24℃,多云,西南风,3-4级,72,良,2
2016-09-01,33℃,24℃,阴~多云,东南风,1-2级,80,良,2
2016-09-02,34℃,24℃,多云~晴,西南风,3-4级,94,良,2
2016-09-03,34℃,23℃,多云,东风,3-4级,114,轻度污染,3
2016-09-04,33℃,23℃,多云~阴,东风,1-2级,90,良,2
2016-09-05,32℃,24℃,多云,东风,3-4级,74,良,2
2016-09-06,28℃,23℃,小雨,东南风,1-2级,65,良,2
2016-09-07,28℃,22℃,多云,东南风,3-4级,55,良,2
2016-09-08,31℃,22℃,多云,西南风,1-2级,75,良,2
2016-09-09,32℃,22℃,多云~阴,东南风,1-2级,111,轻度污染,3
2016-09-10,29℃,22℃,阴,东南风,3-4级,76,良,2
2016-09-11,28℃,21℃,阴~多云,东南风,1-2级,76,良,2
2016-09-12,30℃,21℃,多云,东风,3-4级,68,良,2
2016-09-13,30℃,21℃,多云,东风,1-2级,74,良,2
2016-09-14,29℃,22℃,阴~阵雨,东风,1-2级,47,优,1
2016-09-15,24℃,21℃,中雨~大雨,东风,4-5级,32,优,1
2016-09-16,24℃,22℃,大雨~中雨,东风,4-5级,20,优,1
2016-09-17,27℃,22℃,阴,西北风,4-5级,28,优,1
2016-09-18,27℃,21℃,阴,东北风,4-5级,67,良,2
