date,temp_high,temp_low,weather,wind,aqi,aqiInfo,aqiLevel
2016-07-11,36℃,23℃,多云~雷阵雨,无持续风向,微风,112,轻度污染,3
2016-07-12,32℃,24℃,雷阵雨~晴,无持续风向,微风,54,良,2
2016-07-13,35℃,23℃,晴~多云,无持续风向,微风,46,优,1
2016-07-14,31℃,23℃,阵雨,无持续风向,微风,57,良,2
2016-07-15,28℃,21℃,阵雨~多云,无持续风向,微风,52,良,2
2016-07-16,29℃,21℃,阵雨~多云,无持续风向,微风,51,良,2
2016-07-17,32℃,23℃,阴~晴,无持续风向,微风,101,轻度污染,3
2016-07-18,32℃,24℃,多云~阴,无持续风向,微风,142,轻度污染,3
2016-07-19,26℃,22℃,雷阵雨~大雨,无持续风向,微风,126,轻度污染,3
2016-07-20,24℃,22℃,暴雨~小到中雨,无持续风向,微风,59,良,2
2016-07-21,29℃,23℃,阵雨,无持续风向,微风,34,优,1
2016-07-22,32℃,25℃,多云,无持续风向,微风,97,良,2
2016-07-23,33℃,26℃,雷阵雨,无持续风向,微风,155,中度污染,4
2016-07-24,33℃,24℃,雷阵雨~大到暴雨,无持续风向,微风,85,良,2
2016-07-25,29℃,23℃,阵雨~多云,无持续风向,微风,64,良,2
2016-07-26,33℃,24℃,晴~阴,无持续风向,微风,38,优,1
2016-07-27,34℃,25℃,多云,无持续风向,微风,80,良,2
2016-07-28,33℃,23℃,雷阵雨,无持续风向,微风,73,良,2
2016-07-29,33℃,25℃,多云,无持续风向,微风,156,中度污染,4
2016-07-30,30℃,25℃,雷阵雨~多云,无持续风向,微风,177,中度污染,4
2016-07-31,32℃,24℃,阴~雷阵雨,无持续风向,微风,73,良,2
2016-08-01,31℃,24℃,阴~多云,无持续风向,微风,88,良,2
2016-08-02,33℃,24℃,多云~晴,无持续风向,微风,82,良,2
2016-08-03,34℃,25℃,晴,无持续风向,微风,87,良,2
2016-08-04,33℃,25℃,晴~多云,无持续风向,微风,127,轻度污染,3
2016-08-05,32℃,25℃,多云,无持续风向,微风,88,良,2
2016-08-06,33℃,24℃,多云~雷阵雨,无持续风向,微风,135,轻度污染,3
2016-08-07,31℃,23℃,阴~多云,无持续风向,微风,37,优,1
2016-08-08,30℃,23℃,阴~阵雨,无持续风向,微风,53,良,2
2016-08-09,30℃,25℃,多云~阴,无持续风向,微风,70,良,2
2016-08-10,33℃,24℃,多云,无持续风向,微风,109,轻度污染,3
2016-08-11,34℃,27℃,多云~阴,无持续风向,微风,114,轻度污染,3
2016-08-12,30℃,25℃,雷阵雨,无持续风向,微风,88,良,2
2016-08-13,34℃,25℃,多云~阵雨,无持续风向,微风,37,优,1
2016-08-14,32℃,24℃,多云~阴,无持续风向,微风,46,优,1
2016-08-15,30℃,21℃,阴~晴,无持续风向,微风,39,优,1
2016-08-16,31℃,23℃,晴~阴,无持续风向,微风,44,优,1
