date,temp_high,temp_low,weather,wind,aqi,aqiInfo,aqiLevel
2016-06-28,31℃,20℃,小雨,南风,1-2级,69,良,2
2016-06-29,34℃,23℃,小雨,西南风,1-2级,130,轻度污染,3
2016-06-30,32℃,22℃,雷阵雨,无持续风向,微风,111,轻度污染,3
2016-07-01,32℃,21℃,晴~多云,无持续风向,微风,18,优,1
2016-07-02,35℃,21℃,晴~多云,南风,1-2级,65,良,2
2016-07-03,35℃,21℃,小雨,东南风,1-2级,110,轻度污染,3
2016-07-04,34℃,19℃,小雨~多云,东南风,1-2级,167,中度污染,4
2016-07-05,34℃,18℃,晴,南风,1-2级,112,轻度污染,3
2016-07-06,35℃,19℃,晴~多云,南风,1-2级,99,良,2
2016-07-07,35℃,21℃,多云,南风,1-2级,118,轻度污染,3
2016-07-08,36℃,22℃,多云,南风,1-2级,103,轻度污染,3
2016-07-09,38℃,23℃,多云~晴,南风,1-2级,87,良,2
2016-07-10,39℃,24℃,晴~多云,南风,1-2级,91,良,2
2016-07-11,39℃,26℃,阴~小雨,南风,1-2级,98,良,2
2016-07-12,29℃,22℃,中雨~晴,西北风,1-2级,34,优,1
2016-07-13,37℃,22℃,阴,东风,1-2级,28,优,1
2016-07-14,34℃,23℃,阴,西南风,1-2级,36,优,1
2016-07-15,27℃,20℃,小雨~多云,东南风,1-2级,38,优,1
2016-07-16,30℃,19℃,小雨,南风,1-2级,48,优,1
2016-07-17,32℃,19℃,多云~阴,南风,1-2级,88,良,2
2016-07-18,34℃,23℃,阴~小雨,南风,1-2级,108,轻度污染,3
2016-07-19,26℃,21℃,小雨,东北风,1-2级,117,轻度污染,3
2016-07-20,24℃,22℃,大暴雨~小雨,东北风,1-2级,25,优,1
2016-07-21,29℃,22℃,小雨~多云,东南风,1-2级,36,优,1
2016-07-22,32℃,24℃,阴,南风,1-2级,86,良,2
2016-07-23,34℃,25℃,小雨~多云,南风,1-2级,157,中度污染,4
2016-07-24,35℃,26℃,小雨~大雨,东南风,1-2级,88,良,2
2016-07-25,34℃,22℃,中雨~多云,东南风,1-2级,48,优,1
2016-07-26,33℃,22℃,晴~阴,西南风,1-2级,34,优,1
2016-07-27,34℃,23℃,多云,南风,1-2级,70,良,2
2016-07-28,35℃,24℃,多云~中雨,南风,1-2级,60,良,2
2016-07-29,35℃,25℃,小雨,东南风,1-2级,132,轻度污染,3
2016-07-30,32℃,24℃,小雨~中雨,东南风,1-2级,147,轻度污染,3
2016-07-31,33℃,24℃,大雨~小雨,南风,1-2级,77,良,2
2016-08-01,31℃,23℃,小雨,东北风,1-2级,91,良,2
2016-08-02,33℃,22℃,多云~晴,东北风,1-2级,46,优,1
2016-08-03,34℃,22℃,多云,东南风,1-2级,74,良,2
