date,temp_high,temp_low,weather,wind,aqi,aqiInfo,aqiLevel
2016-06-16,29℃,22℃,晴,西北风,4-5级,58,良,2
2016-06-17,32℃,22℃,晴~多云,西南风,5-6级,79,良,2
2016-06-18,32℃,22℃,阴~多云,南风,4-5级,76,良,2
2016-06-19,30℃,22℃,晴~多云,南风,3-4级,60,良,2
2016-06-20,28℃,22℃,多云,东南风,4-5级,71,良,2
2016-06-21,29℃,21℃,多云,南风,3-4级,38,优,1
2016-06-22,28℃,21℃,多云~雷阵雨,东南风,3-4级,41,优,1
2016-06-23,29℃,20℃,雷阵雨,南风,4-5级,33,优,1
2016-06-24,24℃,20℃,多云~晴,北风,4-5级,38,优,1
2016-06-25,29℃,20℃,晴,西风,3-4级,47,优,1
2016-06-26,32℃,22℃,晴,西南风,3-4级,57,良,2
2016-06-27,31℃,20℃,多云,南风,5-6级,76,良,2
2016-06-28,29℃,20℃,多云,东南风,4-5级,50,优,1
2016-06-29,30℃,21℃,雷阵雨,南风,5-6级,41,优,1
2016-06-30,30℃,22℃,多云~雷阵雨,南风,5-6级,57,良,2
2016-07-01,26℃,20℃,阵雨~多云,东北风,4-5级,42,优,1
2016-07-02,27℃,20℃,晴,北风,3-4级,60,良,2
2016-07-03,28℃,19℃,多云~晴,东南风,3-4级,61,良,2
2016-07-04,25℃,19℃,多云~雷阵雨,东南风,3-4级,59,良,2
2016-07-05,23℃,20℃,多云,东北风,4-5级,47,优,1
2016-07-06,25℃,20℃,多云,东南风,3-4级,43,优,1
2016-07-07,27℃,22℃,阴~多云,东南风,3-4级,34,优,1
2016-07-08,28℃,23℃,晴~多云,东南风,3-4级,28,优,1
2016-07-09,30℃,23℃,晴~多云,南风,3-4级,35,优,1
2016-07-10,31℃,22℃,多云,南风,3-4级,49,优,1
2016-07-11,31℃,22℃,晴~阴,东南风,3-4级,40,优,1
2016-07-12,31℃,23℃,阴~多云,东南风,3-4级,35,优,1
2016-07-13,29℃,23℃,晴,北风,3-4级,44,优,1
2016-07-14,29℃,22℃,晴~多云,东北风,3-4级,58,良,2
2016-07-15,25℃,21℃,雷阵雨,北风,3-4级,61,良,2
2016-07-16,26℃,21℃,多云,东风,3-4级,27,优,1
2016-07-17,28℃,21℃,小雨~多云,东南风,3-4级,37,优,1
2016-07-18,29℃,22℃,晴,东南风,3-4级,65,良,2
2016-07-19,29℃,23℃,阴~中雨,东南风,4-5级,57,良,2
2016-07-20,26℃,23℃,中到大雨~小到中雨,东南风,6-7级,33,优,1
2016-07-21,31℃,24℃,雷阵雨~阵雨,南风,4-5级,49,优,1
2016-07-22,32℃,27℃,雷阵雨~阵雨,西南风,3-4级,57,良,2
2016-07-23,33℃,27℃,雷阵雨~多云,西南风,3-4级,50,优,1
2016-07-24,35℃,25℃,多云,南风,3-4级,61,良,2
2016-07-25,35℃,25℃,雷阵雨,南风,4-5级,64,良,2
2016-07-26,28℃,24℃,雷阵雨,南风,4-5级,44,优,1
2016-07-27,32℃,23℃,多云~晴,南风,3-4级,58,良,2
2016-07-28,31℃,24℃,多云,南风,3-4级,76,良,2
2016-07-29,34℃,25℃,多云~阴,南风,3-4级,86,良,2
2016-07-30,33℃,26℃,雷阵雨~多云,东南风,3-4级,65,良,2
2016-07-31,32℃,24℃,多云~雷阵雨,南风,3-4级,44,优,1
2016-08-01,32℃,23℃,雷阵雨~阵雨,南风,3-4级,32,优,1
2016-08-02,30℃,23℃,雷阵雨~多云,南风,3-4级,39,优,1
2016-08-03,29℃,23℃,多云,东南风,3-4级,32,优,1
2016-08-04,29℃,24℃,晴,东风,3-4级,37,优,1
2016-08-05,30℃,24℃,多云~晴,东南风,3-4级,43,优,1
2016-08-06,31℃,24℃,多云,东南风,3-4级,48,优,1
2016-08-07,31℃,25℃,多云~阵雨,东南风,3-4级,40,优,1
2016-08-08,29℃,24℃,多云,东南风,3-4级,35,优,1
2016-08-09,31℃,24℃,多云~晴,东风,3-4级,51,良,2
2016-08-10,32℃,25℃,多云~晴,南风,3-4级,41,优,1
2016-08-11,34℃,26℃,多云~晴,南风,3-4级,58,良,2
2016-08-12,35℃,26℃,晴,西南风,3-4级,40,优,1
2016-08-13,33℃,25℃,多云~雷阵雨,南风,3-4级,56,良,2
2016-08-14,30℃,25℃,雷阵雨,西南风,3-4级,78,良,2
2016-08-15,30℃,25℃,阴~多云,北风,3-4级,54,良,2
2016-08-16,30℃,23℃,多云~晴,北风,3-4级,49,优,1
2016-08-17,30℃,23℃,晴~多云,东北风,3-4级,61,良,2
2016-08-18,31℃,25℃,多云~阴,南风,3-4级,46,优,1
2016-08-19,30℃,24℃,雷阵雨~中到大雨,南风,4-5级,39,优,1
